Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,99.0,99.0,98.908203125,98.97000122070312,98.97000122070312,2503
2021-04-27,98.94999694824219,98.94999694824219,98.81999969482422,98.83260345458984,98.83260345458984,1317
2021-04-28,98.87999725341797,98.88639831542969,98.76000213623047,98.88639831542969,98.88639831542969,1002
2021-04-29,98.80999755859375,98.9000015258789,98.80000305175781,98.8550033569336,98.8550033569336,2466
2021-04-30,98.91999816894531,98.93000030517578,98.87999725341797,98.88929748535156,98.88929748535156,1922
2021-05-03,98.91000366210938,98.94499969482422,98.91000366210938,98.9446029663086,98.9446029663086,2307
2021-05-04,98.95999908447266,99.05000305175781,98.95999908447266,98.98500061035156,98.98500061035156,2847
2021-05-05,99.0,99.05999755859375,98.99400329589844,99.05999755859375,99.05999755859375,2950
2021-05-06,99.0999984741211,99.10099792480469,99.03099822998047,99.07499694824219,99.07499694824219,4313
2021-05-07,99.1500015258789,99.21499633789062,99.14749908447266,99.14749908447266,99.14749908447266,1834
2021-05-10,99.19999694824219,99.19999694824219,99.06999969482422,99.11000061035156,99.11000061035156,2968
2021-05-11,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-12,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-13,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-14,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-17,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-18,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-19,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-20,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
2021-05-21,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,99.11000061035156,0
